ID,Impact Bond Name - (Value),Alternative Names - (Value),Stage of Development - (Value),Stage of Development - (Source ID's),Social Investment Prototype - (Value),Dates - Date outcomes contract signed - (Value),Dates - Date contracts between all parties signed - (Value),Dates - Anticipated completion date - (Value),Dates - Actual completion date - (Value),Dates - Start date of service provision - (Value),Dates - Anticipated end date of service provision - (Value),Dates - Actual end date of service provision - (Value),Dates - Anticipated duration of service provision - (Value),Dates - Actual duration of service provision - (Value),Dates - (Source ID's),Dates - (Notes),Jurisdiction - Jurisdiction - (Value),Jurisdiction - (Source ID's),Jurisdiction - (Notes),Overall project finance - Total investment commitment - Currency - (Value),Overall project finance - Total investment commitment - Amount - Min - (Value),Overall project finance - Total investment commitment - Amount - Exact - (Value),Overall project finance - Total investment commitment - Amount - Max - (Value),Overall project finance - Total investment commitment - Amount USD - Min - (Value),Overall project finance - Total investment commitment - Amount USD - Exact - (Value),Overall project finance - Total investment commitment - Amount USD - Max - (Value),Overall project finance - Maximum potential outcome payment - Currency - (Value),Overall project finance - Maximum potential outcome payment - Amount - (Value),Overall project finance - Maximum potential outcome payment - Amount USD - (Value),Overall project finance - Maximum potential loss - (Value),Overall project finance - Maximum potential return type - (Value),Overall project finance - Maximum potential return - (Value),Overall project finance - Configuration of the Contracting Parties - (Value),Overall project finance - Investor repayment - (Value),Overall project finance - Total outcome payments made - Currency - (Value),Overall project finance - Total outcome payments made - Amount - (Value),Overall project finance - Total outcome payments made - Amount USD - (Value),Overall project finance - (Source ID's),Overall project finance - (Notes),Investment Details - Total Funds Invested - Latest - Currency - (Value),Investment Details - Total Funds Invested - Latest - Amount - (Value),Investment Details - Total Funds Invested - Latest - Amount USD - (Value),Investment Details - Total Funds Invested - Latest - Date - (Value),Investment Details - Internal Rate of Return - Target - (Value),Investment Details - Internal Rate of Return - Latest - (Value),Investment Details - Internal Rate of Return - Date - (Value),Investment Details - (Source ID's),Investment Details - (Notes),Purpose and classifications - Social challenge - (Value),Purpose and classifications - Intervention - (Value),Purpose and classifications - Policy sector - (Value),Purpose and classifications - Primary SDG goal - (Value),Purpose and classifications - Secondary SDG goals - (Value),Purpose and classifications - Primary SDG target - (Value),Purpose and classifications - Secondary SDG targets - (Value),Purpose and classifications - (Source ID's),Purpose and classifications - (Notes),Service and beneficiaries - Target population - (Value),Service and beneficiaries - Targeted number of unique service users or beneficiaries (total) - (Value),Service and beneficiaries - Unit type of targeted service users or beneficiaries - (Value),Service and beneficiaries - Unit description of targeted service user or beneficiaries - (Value),Service and beneficiaries - Actual number of unique service users or beneficiaries engaged (total) - (Value),Service and beneficiaries - Unit type of actual service users or beneficiaries engaged - (Value),Service and beneficiaries - Unit description of actual service user or beneficiaries engaged - (Value),Service and beneficiaries - (Source ID's),Service and beneficiaries - (Notes),Changes to project due to COVID-19 - (Value),Changes to project due to COVID-19 - (Source ID's),Notes - (Value)
INDIGO-POJ-0089,Santa Clara County Project Welcome Home,,Implementation,,,2015-06,,,,2015-07,,,,,"source2,source3",,,,,USD,,6300000,,,6300000,,,,,,,,,,,,,,,,,,,,,,,,,"The intervention aims at providing permanent housing as well as apply Assertive Community Treatment (ACT), an evidence-based model, which identifies, coordinates, and delivers appropriate supports, including intensive case management, crisis intervention, substance use counseling, mental health treatment, and primary care referrals. These services are designed to end the participant's homelessness, increase income, and provide increased access to ongoing physical and behavioral health services.",Homelessness,,,,,source1,,"Individuals experiencing chronic homelessness (as defined by the US Department of Housing and Urban Development), identified as high-cost users of county services using a predictive screening tool that assesses historical utilization data. ",200,,,,,,source9,,,,
INDIGO-POJ-0090,South Carolina Nurse-Family Partnership Pay for Success Project,,Implementation,,,,,,,2016-04,,,,,source4,Enrolment started on 1/1/2016. Full launch of the project on 1/4/2016.,,,,USD,,17500000,,,17500000,,,,,,,,,,,,,,,,,,,,,,,,,"The intervention extends the service provider's nursing program statewide. The service provider partners first-time mothers with a personal, specially-trained nurse home visitor who guides them through pregnancy until their child's second birthday. The expectant moms benefit by getting the care and support they need to have a healthy pregnancy, while also developing a close relationship with a nurse who becomes a trusted resource they can rely on for advice in the future. Through this partnership, the nurse provides new moms with the confidence and tools they need to assure a healthy start for their babies and envision a life of stability and opportunities for both mom and child.",Health,,,,,"source11,source3",,"First-time, low-income moms at no more than twenty-eight weeks gestation with eligible/enrolled in Medicaid, with focus on ZIP codes with high concentrations of poverty.  ",3200,,,,,,source4,,,,"The project uses a combination of fee-for-service and pay-for-success mechanisms. Contemporaneous per-visit Medicaid payments are covering approximately 45% of the budget, while investor contributions are covering the remaining 55%."
INDIGO-POJ-0091,Denver Housing to Health Initiative,,Implementation,,,2016-02,,,,2016-02,,,,,"source2,source3",Contractual quarter started on 1/1/2016,,,,USD,,8650000,,,8650000,,,,,,,,,,,,,,,,,,,,,,,,,"Provide housing and supportive case management services (i.e. Housing First). The intervention focuses on preventive services to help individuals lead more stable and productive lives, reduce the likelihood of them engaging in nuisances and crimes, and therefore avoid expensive encounters with the criminal justice and safety-net systems. The service providers use modified models based on an Assertive Community Treatment (i.e. ACT) model for supportive services, which is a highly integrated and intensive approach for delivering community mental health services. Additionally, participants will also be enrolled in Medicaid.  ",Homelessness,,,,,"source14,source1",,"Frequent users of public services who increase the costs of such services by cycling in and out of jail and detox centers and by using emergency medical services. Service provider identified individuals who had at least 8 arrests over three years (2012 - 2014), who identified as transient (having no address or providing the address of a shelter) at the time of their arrest, and had multiple detox visits per year.",250,,,,,,source16,,,,"The City and State contribute to the project's capital construction through low-income housing tax credits and vouchers, as well as Medicaid funding."
INDIGO-POJ-0092,Strong Beginnings Pay for Success Project,,Implementation,,,,,,,2016-01,,,,,source1,,,,,USD,,8500000,,,8500000,,,,,,,,,,,,,,,,,,,,,,,,,"The intervention focuses on improving health and early childhood development outcomes for high-risk African-American and Latina mothers and their babies through home-visitation, social support, referrals to resources, community programs and better coordination of care throughout pregnancy until the child's second birthday. More specifically, the intervention requires nurses to visit new mothers from early in their pregnancies until two years after their child's birth to provide prenatal care, breastfeeding support, parenting and life skills-building, and healthcare or emotional support. The intervention aims to reduce rates of infant mortality and low birth-weight.",Child and family welfare,,,,,source1,,"Medicaid-eligible, high-risk pregnant women and their families.",1700,,,,,,source1,,,,
INDIGO-POJ-0093,Connecticut Family Stability Pay for Success Project,,Implementation,,,,,,,2016-01,,,,,source4,,,,,USD,,11200000,,,11200000,,,,,,,,,,,,,,,,,,,,,,,,,"The intervention seeks to expand Family-Based Recovery (i.e. FBR) in order to promote family stability and reduce parental substance use for families involved with the Connecticut Department of Children and Families. Once a family enrols with FBR, they receive services focused on understanding and responding to the child's developmental needs and treating substance use for an average of six months. The program aims to eliminate substance use among fathers and mothers who are actively parenting a child younger than 72 months, prevent the risk of child neglect and disruption of primary relationships, and promote healthy child development. ",Child and family welfare,,,,,"source6,source3",,Parents who are actively parenting a child younger than 72 months with a demonstrated the need for substance use treatment by producing a positive toxicology test prior to 45 days of program intake.,500,,,,,,source6,,,,
INDIGO-POJ-0094,DC Water Environmental Bond,,Implementation,,,2017,,,,2016-10,,,,,source2,,,,,USD,,25000000,,,25000000,,USD,28300000,28300000,,,,,,,,,,,,,,,,,,,,Stormwater runoff,"Development of green infrastructure (i.e. permeable pavement and bioretention) designed to mimic the same absorption and filtering processes found in nature in order to slow surges of stormwater during periods of heavy rainfall. Beneath the surface of a rain garden or permeable pavement installation, there are layers of soil, rock, and gravel that slowly filter stormwater allowing it to be reabsorbed into the ground or flow into the sewer system and back to the treatment facility for treatment. By absorbing and slowing stormwater, green infrastructure mitigates stormwater runoff, ultimately reducing the incidence and volume of CSOs (i.e. Combined Sewer Overflow).",Agriculture and environment,,,,,"source8,source1",,20 equivalent impervious acres of green stormwater infrastructure for Rock Creek Project A.,,,,,,,source10,,,,"The cost of installing the green infrastructure are paid for by DC Water (through the issuing of a 30 year municipal tax-exempt bond with a mandatory term of 5 years), but the performance risk of the green infrastructure in managing stormwater runoff is shared amongst DC Water and the investors through the SIB mechanism. Only a 3,3 million USD payment is linked to performance metrics. "
INDIGO-POJ-0095,Salt Lake County Pay for Success REACH Initiative,,Implementation,,,2016-12,,,,2017-05,,,,,"source2,source3",,,,,USD,,4600000,,,4600000,,,,,,,,,,,,,,,,,,,,,,,,,"The intervention is based on the First Step House (i.e. FSH) model, which addresses five major domains defined by the acronym REACH: Recovery, Engagement, Assessment, Career Development, and Housing. The REACH program model was built on the framework of risk-need-responsivity (i.e. RNR) principles, and is designed for adult males assessed as high-risk, high-need who are diagnosed with moderate to severe subtstance disorders. The program aims to address the major criminogenic needs that have the greatest impact on reducing recidivism, including antisocial behaviors, antisocial personality/negative emotionality, antisocial attitudes and cognitions, antisocial associates, problems with school and work, lack of prosocial activities, family and marital problems, and substance abuse. The program has adopted several evidence-based interventions, including MRT, CENAPS Model fo Relapse Prevention, other CBTs, and Motivation Interviewing to attenuate treatment resistance, facilitate mental health treatment through interagency partnerships, provide housing, and career development services.",Criminal justice,,,,,"source10,source1",,"18 year-old or older male offenders court ordered to Adult Probation and Parole (i.e. AP&P) probation and who are assessed as high risk as indicated by a LS/RNR score of 20 or higher or a LSI-R score of 24 or higher, with substance abuse disorder (score of 4 or higher on LS/RNR).",228,,,,,,source11,,,,
INDIGO-POJ-0096,Salt Lake County Homes Not Jails ,,Implementation,,,2016-12,,,,2017-01,,,,,"source2,source4",,,,,USD,,5500000,,,5500000,,,,,,,,,,,,,,,,,,,,,,,,,"The intervention addresses persistent homelessness and associated criminal justice contact through en enhanced Rapid 
Rehousing intervention, including move-in support, time-limited rental assistance, roommate matching, and intensive case management. The Housing Not Jail (i.e. HNJ) program model was built on the framework of the housing first (i.e. HF) model, and is designed to move persistently homeless individuals out of emergency shelter and into a stable housing placement. The intervention also intends to interrupt the frequency with which individuals cycle in and out of jail and emergency shelter. The program aims to address clients' barriers moving out of shelter to a permanent housing placement, including: poor credit history, lack of resources for rental and utility deposits, behavioral health needs, and lack of income, either from employment or enrollment in public benefits programs.",Homelessness,,,,,"source13,source3",,"Individuals who are 30-year old or older, single, and who have resided in an emergency shelter in Salt Lake County or in the YMCA domestic violence shelter for 90 to 364 days in the year preceding HNJ eligibility assessment. Participants must score 8 or less on the DAST-10 and the AUDIT-C, and 19 or less on the K6. ",315,,,,,,source15,,,,
INDIGO-POJ-0097,Massachusetts Pathways to Economic Advancement Pay for Success Project,,Implementation,,,2016-09,,,,2017-06,,,,,"source2,source3",,,,,USD,,12430000,,,12430000,,,,,,,,,,,,,,,,,,,,,,,,,"The intervention aims at delivering various services including Vocational English classes, as well as reading, math, science, and computer literacy instruction, integrated with job readiness and job search assistance, occupational skills development activities (e.g. customer service, industry-specific vocabulary), and coaching (e.g. interviewing prep). The intervention will assist limited English speakers, including documented immigrants and refugees, in making succesful transitions to employment, higher wage jobs, and higher education. The service provider will offer four distinct program tracks: Rapid Employment, English for Advancement, Skills Training, and Bridges to College. ",Employment and training,,,,,"source14,source1",,"Eligibility differs depending on intervention track: recent immigrants and refugees with low English language skills, limited education/work experience in the US (RE); individuals with low-to-intermediate English language skills, unemployed, hold work authorization, working lower-skilled/part-time jobs (EFA); intermediate English participants who have documented work history in US, but lack language/vocational skills needed to obtain desired position (OST); individuals qualified financial aid with higher level English skills, high school credential, low English, math, science, and computer skills, and meeting entry criteria for program on academic assessment by service provider (BTC).",2000,,,,,,source14,,,,
INDIGO-POJ-0098,Illinois Dually-Involved Youth Pay for Success Initiative,,Implementation,,,,,,,2016-11,,,,,source2,,,,,USD,,16400000,,,16400000,,,,,,,,,,,,,,,,,,,,,,,,," Since dually-involved youth interact with multiple government systems and have unique personal challenges, this initiative aims to improve outcomes by changing both systems behavior and child and family behavior. Services providers and commissioner will collaborate with juvenile courts/probation to develop a system of care that provides rapid identification, comprehensive and collaborative case coordination, and increased access to proven clinical programs for dually-involved youth. The service provider will implement the Crossover Youth Practice Model (CYPM), a set of proven practices developed by the CJJR at Georgetown University's McCourt School of Public Policy. Through this model, the service provider will offer an array of therapeutic interventions including high-fidelity wraparound services, TFCO, BSFT, ARC, SPARCS, and a variety of non-traditional therapies to help youth transition to adulthood, develop a positive support team for the youth, and thus prevent future criminal behavior.",Criminal justice,,,,,"source7,source1",,"Youth aged 11 - 17 in guardianship/custody of DCFS, involved in the juvenile justice system, from and living in Cook or Lake counties.",800,,,,,,source9,,,,The capital has not been fully closed at the time this template was completed.  The investor is unspecified (only the investors for the ramp-up period are named).
